mood_total_length,clip_total_length,length_ratio,mood_mean_direction_change,mood_max_direction_change,mood_direction_change_sum,mood_direction_change_std,clip_mean_direction_change,clip_max_direction_change,clip_direction_change_sum,num_segments,interpolation_steps,mood_cumulative_lengths,clip_cumulative_lengths,mood_direction_profile,clip_direction_profile,pair,left_path,right_path,training_steps,z_length_ratio,z_mood_mean_direction_change,creativity_score,rank_creativity,rank_length_ratio,rank_mood_mean_direction,rank_mood_direction_sum
747.3050537109375,157.06809997558594,4.757841050010128,20.52440643310547,23.44401741027832,389.9637145996094,1.706764578819275,0.0,0.0,0.0,20,21,"[  0.          25.23002052  52.61253357  82.30626678 113.97509766
 147.40014648 182.23040771 218.54118347 256.14312744 294.49719238
 333.36569214 373.00100708 413.19067383 453.63232422 494.24395752
 535.47137451 577.54504395 620.10351562 662.5604248  704.76104736
 747.30505371]","[  0.           7.853405    15.70681     23.560215    31.41362
  39.26702499  47.12042999  54.97383118  62.82723999  70.68064117
  78.53404999  86.3874588   94.24086761 102.09426117 109.94766998
 117.8010788  125.65448761 133.50788879 141.36128235 149.21469116
 157.06809998]","[21.105549 19.82569  20.137829 20.33356  20.666433 21.299538 21.114498
 21.736074 23.272789 23.444017 22.450558 21.45779  21.532454 20.870142
 19.261684 17.834091 17.54773  18.165585 17.907707]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],00031,images/creativity/left/00031.jpg,images/creativity/right/00031.jpg,1000,2.3277603019555904,2.9307916507843013,5.258551952739891,2,2,2,2
438.717041015625,130.6582489013672,3.357744686650506,13.440320014953613,19.12204933166504,255.36607360839844,2.175799608230591,0.026534657925367355,0.03956468030810356,0.5041584968566895,20,21,"[  0.          24.15880013  48.84080887  74.63842773 101.4228363
 128.62019348 155.50758362 181.55033875 206.50691223 230.36404419
 253.21257019 275.12139893 296.12768555 316.27130127 335.61532593
 354.22796631 372.17861938 389.54098511 406.38262939 422.75662231
 438.7170105 ]","[  0.           6.5329113   13.0658226   19.59873581  26.13164711
  32.66455841  39.19747162  45.73038101  52.26329422  58.79620361
  65.32911682  71.86203003  78.39494324  84.92784882  91.46076202
  97.99367523 104.52658844 111.05950165 117.59240723 124.12532043
 130.65823364]","[19.12205   17.356552  15.504026  14.022765  13.359518  13.590609
 14.0847435 14.474363  14.393378  13.943151  13.39378   12.907571
 12.444543  11.970424  11.581311  11.245736  10.907987  10.615317
 10.448244 ]","[0.         0.         0.02797645 0.         0.02797645 0.02797645
 0.01978234 0.         0.02797645 0.03956468 0.02797645 0.02797645
 0.03956468 0.03956468 0.03956468 0.03956468 0.03956468 0.03956468
 0.03956468]",00173,images/creativity/left/00173.jpg,images/creativity/right/00173.jpg,1000,0.41361861392304555,0.5943485848709043,1.0079671987939498,10,12,10,10
358.9200439453125,166.33816528320312,2.1577732526640796,11.248699188232422,12.392216682434082,213.72528076171875,0.6124480366706848,0.0,0.0,0.0,20,21,"[  0.          14.19798756  28.97909927  44.47236633  60.72097015
  77.70545197  95.36664581 113.59601593 132.21858215 151.0632782
 170.07563782 189.28417969 208.67271423 228.13026428 247.50787354
 266.69146729 285.62564087 304.30545044 322.75082397 340.96600342
 358.92004395]","[  0.           8.31690788  16.63381577  24.95072556  33.26763153
  41.58453751  49.9014473   58.21835327  66.53526306  74.85217285
  83.16908264  91.48599243  99.80290222 108.11980438 116.43671417
 124.75362396 133.07054138 141.38745117 149.7043457  158.02125549
 166.33816528]","[11.462553 11.231998 10.917962 10.752297 10.757459 10.88148  11.159355
 11.779468 12.362758 12.392217 11.991333 11.593842 11.429046 11.381761
 11.312783 11.179242 10.883107 10.389419  9.86721 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],00436,images/creativity/left/00436.jpg,images/creativity/right/00436.jpg,1000,-1.226922284797679,-0.1284824171032375,-1.3554047019009166,34,41,17,17
415.1007995605469,160.41714477539062,2.587633635679987,10.265939712524414,11.12992000579834,195.0528564453125,0.625984787940979,0.0,0.0,0.0,20,21,"[  0.          15.90717888  32.43767548  49.72209167  67.81785583
  86.71318817 106.34214783 126.61013794 147.41767883 168.66511536
 190.26115417 212.15965271 234.35768127 256.82623291 279.47088623
 302.17144775 324.84393311 347.45587158 370.00775146 392.53411865
 415.10079956]","[  0.           8.02085781  16.04171562  24.06257248  32.08342743
  40.10428619  48.12514496  56.14599991  64.16686249  72.18771362
  80.20857239  88.22943115  96.25028992 104.27114105 112.29199982
 120.31285858 128.33372498 136.35458374 144.37542725 152.39628601
 160.41714478]","[11.12992   10.652184  10.137932   9.699229   9.408636   9.297559
  9.321372   9.4152565  9.675911  10.09401   10.353585  10.346647
 10.303891  10.429036  10.691298  10.901813  11.018067  11.098171
 11.078337 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],00478,images/creativity/left/00478.jpg,images/creativity/right/00478.jpg,1000,-0.6392386790850043,-0.45261194163799023,-1.0918506207229945,32,32,30,30
389.64349365234375,141.66188049316406,2.750517586635779,10.8832426071167,11.782294273376465,206.7816162109375,0.7029538154602051,0.003123527392745018,0.01978234015405178,0.05934701859951019,20,21,"[  0.          16.99533844  34.45761108  52.5067482   71.20025635
  90.51509094 110.3565979  130.57887268 151.0332489  171.62226868
 192.28704834 212.94462585 233.48948669 253.85133362 274.01397705
 293.98175049 313.72531128 333.17544556 352.28948975 371.09185791
 389.64352417]","[  0.           7.08309364  14.16618729  21.24928093  28.33237457
  35.41546631  42.49856186  49.58165359  56.66474915  63.74784088
  70.83093262  77.91402435  84.99711609  92.0802002   99.16329956
 106.2463913  113.32948303 120.41257477 127.4956665  134.57876587
 141.66186523]","[10.665846 10.522107 10.178325  9.848998  9.674021  9.746851 10.103436
 10.550776 10.785872 10.871761 11.114854 11.488696 11.761973 11.782294
 11.562414 11.420201 11.517466 11.631624 11.554097]","[0.         0.         0.         0.         0.         0.01978234
 0.01978234 0.01978234 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",00482,images/creativity/left/00482.jpg,images/creativity/right/00482.jpg,1000,-0.4165518919500201,-0.2490157427064294,-0.6655676346564495,25,30,20,20
321.95025634765625,132.86074829101562,2.4232157389514515,7.861021518707275,9.251725196838379,149.35940551757812,0.5651726126670837,0.0,0.0,0.0,20,21,"[  0.          13.39270306  27.01897621  40.97327423  55.32101822
  70.09742737  85.30957794 100.94104004 116.95804596 133.31416321
 149.95343018 166.81417847 183.83639526 200.97052002 218.18217468
 235.45001221 252.75878906 270.09085083 287.42056274 304.71658325
 321.95025635]","[  0.           6.64303827  13.28607655  19.9291153   26.57215309
  33.21519089  39.85823059  46.50126648  53.14430618  59.78734207
  66.43038177  73.07342529  79.71646118  86.35949707  93.00254059
  99.64558411 106.28862762 112.93166351 119.57469177 126.21772766
 132.86076355]","[9.251725  9.031699  8.740173  8.430327  8.134652  7.8843107 7.6904154
 7.5475616 7.45601   7.4290915 7.474567  7.565818  7.6491413 7.6832657
 7.6527834 7.5651956 7.456983  7.374562  7.341122 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],00666,images/creativity/left/00666.jpg,images/creativity/right/00666.jpg,1000,-0.8640226001227899,-1.245791768416407,-2.109814368539197,42,37,44,44
451.42425537109375,157.3602294921875,2.8687315519802654,10.084418296813965,10.808531761169434,191.60394287109375,0.41724687814712524,0.017699986696243286,0.01978234015405178,0.33629974722862244,20,21,"[  0.          20.60647011  41.67845154  63.27612305  85.46760559
 108.25827789 131.54893494 155.18603516 179.02053833 202.92541504
 226.70362854 250.2696228  273.70870972 296.99819946 320.03897095
 342.76293945 365.14083862 387.16989136 408.87121582 430.28125
 451.42425537]","[  0.           7.86801147  15.73602295  23.60403633  31.4720459
  39.34005737  47.20807266  55.07608032  62.9440918   70.81210327
  78.68011475  86.54812622  94.4161377  102.28414154 110.15215302
 118.02016449 125.88817596 133.75619507 141.62420654 149.49221802
 157.36022949]","[10.6206    10.221082   9.959906   9.493511   9.343358   9.561743
  9.962551  10.1861105 10.256549  10.808532  10.298735   9.5198345
  9.550695   9.875358  10.175523  10.391048  10.524968  10.501629
 10.352218 ]","[0.01978234 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234
 0.01978234 0.         0.         0.01978234 0.01978234 0.01978234
 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234
 0.01978234]",00681,images/creativity/left/00681.jpg,images/creativity/right/00681.jpg,1000,-0.2549356738844673,-0.5124805581422632,-0.7674162320267306,27,25,32,32
320.5557556152344,160.71409606933594,1.9945714996706878,8.320233345031738,9.012622833251953,158.0844268798828,0.30763405561447144,0.025368308648467064,0.04423465579748154,0.48199787735939026,20,21,"[  0.          13.66167545  27.50086594  41.56274414  55.87486267
  70.4560318   85.32592773 100.49884033 115.97436523 131.74388123
 147.80282593 164.15296936 180.79031372 197.68910217 214.80566406
 232.09942627 249.54278564 267.11724854 284.81427002 302.63265991
 320.55581665]","[  0.           8.03570652  16.07141113  24.1071167   32.14282227
  40.17852783  48.2142334   56.24993515  64.28564453  72.3213501
  80.35705566  88.39276123  96.4284668  104.46416473 112.4998703
 120.53557587 128.57128906 136.60699463 144.64268494 152.6783905
 160.71409607]","[8.441199  8.376627  8.324588  8.342426  8.34725   8.240404  8.102829
 8.050983  8.077275  8.107673  8.0598545 7.9651356 7.9662943 8.097691
 8.283159  8.5135    8.791468  8.98345   9.012623 ]","[0.04423466 0.03956468 0.04423466 0.04423466 0.03956468 0.01978234
 0.         0.01978234 0.02797645 0.02797645 0.01978234 0.02797645
 0.02797645 0.01978234 0.         0.01978234 0.01978234 0.01978234
 0.01978234]",01028,images/creativity/left/01028.jpg,images/creativity/right/01028.jpg,1000,-1.4500435549758532,-1.0943364890663383,-2.5443800440421915,43,43,43,43
421.0010986328125,136.89019775390625,3.075465632606254,10.637742042541504,11.86336898803711,202.11709594726562,0.4905432462692261,0.012925378978252411,0.02797645330429077,0.2455821931362152,20,21,"[  0.          19.05961227  38.40010834  58.20244598  78.55116272
  99.42185974 120.72412872 142.34402466 164.16960144 186.0975647
 208.03938293 229.93406677 251.74975586 273.46096802 295.04266357
 316.47235107 337.72473145 358.79693604 379.71105957 400.46398926
 421.00109863]","[  0.           6.84451008  13.68902016  20.53353119  27.37804031
  34.22254944  41.06706238  47.9115715   54.75608444  61.60059357
  68.44510651  75.28961945  82.13413239  88.9786377   95.82315063
 102.66766357 109.51217651 116.35668945 123.20119476 130.04570007
 136.89021301]","[11.863369  11.589287  11.030925  10.596316  10.409927  10.410702
 10.476379  10.549712  10.647101  10.771045  10.829038  10.786785
 10.7356825 10.6206    10.49983   10.472359  10.321423   9.944928
  9.561681 ]","[0.01978234 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234
 0.02797645 0.01978234 0.01978234 0.         0.         0.01978234
 0.         0.         0.01978234 0.01978234 0.         0.
 0.        ]",01208,images/creativity/left/01208.jpg,images/creativity/right/01208.jpg,1000,0.027700816302346845,-0.3299856882889373,-0.3022848719865905,20,19,23,23
543.8882446289062,150.46932983398438,3.6146119958731013,14.591172218322754,17.576929092407227,277.2322692871094,0.9199112057685852,0.03981959447264671,0.04423465579748154,0.7565723061561584,20,21,"[  0.          26.03349876  52.49530029  79.96417999 108.40507507
 137.52441406 167.05137634 196.64024353 226.08706665 255.16850281
 283.71777344 311.73812866 339.34060669 366.55459595 393.37329102
 419.75778198 445.60040283 470.82992554 495.52474976 519.84906006
 543.88818359]","[  0.           7.52346754  15.04693508  22.57040405  30.09387207
  37.61734009  45.14080811  52.66427231  60.18774033  67.71120453
  75.23467255  82.75814056  90.28160858  97.80506897 105.32853699
 112.852005   120.37547302 127.89894104 135.4223938  142.94586182
 150.46932983]","[17.57693  16.409647 15.125762 14.793471 14.450528 14.341284 14.27249
 14.008353 14.470524 14.856736 14.677603 14.134601 13.935241 13.766236
 13.80088  14.111102 14.425724 14.260779 13.814389]","[0.04423466 0.04423466 0.04423466 0.03956468 0.03956468 0.02797645
 0.03956468 0.03956468 0.02797645 0.03956468 0.03956468 0.03956468
 0.03956468 0.04423466 0.04423466 0.04423466 0.03956468 0.03956468
 0.03956468]",01271,images/creativity/left/01271.jpg,images/creativity/right/01271.jpg,1000,0.7647947456115082,0.973917733485904,1.7387124790974122,7,11,5,5
