mood_total_length,clip_total_length,length_ratio,mood_mean_direction_change,mood_max_direction_change,mood_direction_change_sum,mood_direction_change_std,clip_mean_direction_change,clip_max_direction_change,clip_direction_change_sum,num_segments,interpolation_steps,mood_cumulative_lengths,clip_cumulative_lengths,mood_direction_profile,clip_direction_profile,use_cluster_correspondence,pair,left_path,right_path,training_steps,z_length_ratio,z_mood_mean_direction_change,path_score,rank_path_score,rank_length_ratio,rank_mood_mean_direction,rank_mood_direction_sum
915.3526000976562,381.80426025390625,2.397439461489852,26.422481536865234,33.902748107910156,502.02716064453125,4.9232563972473145,0.02028760313987732,0.02797645330429077,0.38546445965766907,20,21,"[  0.          26.24502754  54.78485489  86.24394989 120.74269104
 157.57821655 195.9382019  235.73065186 277.09817505 319.71514893
 363.43261719 408.8944397  456.60900879 506.54428101 558.51391602
 613.61560059 671.31787109 731.72290039 795.87200928 860.28747559
 915.35266113]","[  0.          19.09021378  38.18042755  57.27064514  76.3608551
  95.45106506 114.54128265 133.63148499 152.72171021 171.81192017
 190.90214539 209.99237061 229.08259583 248.17279053 267.26300049
 286.35321045 305.44342041 324.53363037 343.62384033 362.71405029
 381.80426025]","[20.161236 20.028648 19.632414 19.218603 20.639807 22.756762 23.961073
 24.738144 26.916063 27.58649  28.023787 27.856089 28.595875 28.328726
 29.391352 33.319416 33.43944  33.530487 33.90275 ]","[0.         0.01978234 0.01978234 0.01978234 0.         0.01978234
 0.02797645 0.02797645 0.01978234 0.02797645 0.02797645 0.01978234
 0.01978234 0.01978234 0.02797645 0.02797645 0.01978234 0.01978234
 0.01978234]",False,00031,images/creativity/left/00031.jpg,images/creativity/right/00031.jpg,1000,3.0580486513370184,2.724067105825429,5.7821157571624475,2,2,2,2
782.4346923828125,364.9117126464844,2.1441753313651843,25.09437370300293,34.6818962097168,476.7930908203125,3.4758121967315674,0.003986065741628408,0.02797645330429077,0.07573524862527847,20,21,"[  0.          42.67897797  89.69102478 139.44378662 188.75921631
 236.0965271  279.77398682 321.42672729 362.19857788 402.17507935
 441.44830322 480.01242065 517.62078857 554.29443359 590.18676758
 625.37567139 659.90582275 693.46014404 725.49780273 755.10070801
 782.43463135]","[  0.          18.2455864   36.49117279  54.73675919  72.98234558
  91.22792816 109.47351837 127.71910095 145.96469116 164.21026611
 182.45585632 200.70144653 218.94703674 237.19261169 255.4382019
 273.68377686 291.92938232 310.17495728 328.42053223 346.66610718
 364.91171265]","[34.681896 28.721672 28.08011  26.186077 26.98397  27.854086 26.228361
 26.004522 25.881926 25.415379 24.462723 24.244707 23.724424 23.41063
 22.837717 21.55178  19.517168 19.162563 21.843384]","[0.         0.         0.         0.         0.         0.
 0.         0.02797645 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01978234
 0.02797645]",False,00173,images/creativity/left/00173.jpg,images/creativity/right/00173.jpg,1000,1.886215802477493,2.296863621049123,4.183079423526616,3,3,3,3
639.8610229492188,403.6959228515625,1.5850073947476881,15.108909606933594,17.05254554748535,287.06927490234375,1.2959474325180054,0.01543899904936552,0.02797645330429077,0.2933409810066223,20,21,"[  0.          25.8212986   52.91176987  81.40166473 111.20093536
 142.06600952 173.72486877 206.02938843 238.97532654 272.63632202
 306.96878052 341.759552   376.7845459  411.8190918  446.67672729
 481.31887817 515.47674561 548.70007324 580.53204346 610.83752441
 639.86108398]","[  0.          20.18479347  40.36958694  60.55438232  80.73917389
 100.92396545 121.10876465 141.29354858 161.47834778 181.66313171
 201.84793091 222.0327301  242.2175293  262.40231323 282.58709717
 302.77191162 322.95672607 343.14154053 363.32632446 383.5111084
 403.69592285]","[13.692059  13.658358  13.8080225 14.264259  14.934575  15.729861
 16.607704  17.052546  16.752565  16.55891   16.370821  16.243723
 16.18193   15.967358  14.82571   14.029937  13.366611  13.490725
 13.5336075]","[0.         0.01978234 0.01978234 0.         0.         0.02797645
 0.01978234 0.01978234 0.02797645 0.01978234 0.01978234 0.01978234
 0.01978234 0.01978234 0.         0.01978234 0.01978234 0.
 0.01978234]",False,00436,images/creativity/left/00436.jpg,images/creativity/right/00436.jpg,1000,-0.701009462445889,-0.9150932322915819,-1.6161026947374708,40,33,41,41
580.5455322265625,367.3232116699219,1.5804760325036118,16.13654327392578,18.48664665222168,306.5943298339844,1.2921674251556396,0.010411757975816727,0.03956468030810356,0.1978234052658081,20,21,"[  0.          22.67283821  46.50014877  71.52250671  97.47789001
 124.20238495 151.74087524 179.92527771 208.46783447 237.22805786
 266.18096924 295.50592041 325.44934082 356.15158081 387.9440918
 420.90597534 454.36306763 487.39389038 519.55456543 550.65014648
 580.54553223]","[  0.          18.36616135  36.73232269  55.09848785  73.46465302
  91.83081055 110.19697571 128.56312561 146.92929077 165.29544067
 183.66160583 202.027771   220.39393616 238.7600708  257.1262207
 275.49240112 293.85858154 312.22473145 330.59088135 348.95703125
 367.32321167]","[15.797265 14.622876 14.398323 14.948826 14.953539 14.302988 14.546398
 15.229593 16.135077 17.212646 17.732527 18.251225 18.486647 17.695353
 16.36796  16.28428  16.549849 16.349117 16.729849]","[0.         0.01978234 0.03956468 0.03956468 0.         0.
 0.01978234 0.01978234 0.01978234 0.         0.         0.
 0.         0.01978234 0.01978234 0.         0.         0.
 0.        ]",False,00478,images/creativity/left/00478.jpg,images/creativity/right/00478.jpg,1000,-0.7219757126806802,-0.5845412451567541,-1.3065169578374343,33,36,31,31
639.2710571289062,376.3815612792969,1.6984653949467259,17.391157150268555,21.026050567626953,330.4319763183594,1.9867734909057617,0.003123527392745018,0.01978234015405178,0.05934701859951019,20,21,"[  0.          27.70526886  57.10874176  88.39396667 121.18725586
 154.81530762 188.68652344 222.28236389 255.2613678  287.78466797
 320.31762695 353.3447876  386.92425537 420.79928589 454.73449707
 488.38531494 521.32476807 553.16186523 583.47814941 612.05224609
 639.27111816]","[  0.          18.81907654  37.63815308  56.45722961  75.27630615
  94.09538269 112.91445923 131.73353577 150.5526123  169.37168884
 188.19076538 207.00984192 225.82891846 244.64797974 263.46707153
 282.28616333 301.10525513 319.92434692 338.7434082  357.5625
 376.3815918 ]","[15.751149 15.159047 14.65945  15.176434 16.065117 17.281893 18.956013
 20.537876 21.02605  20.701414 19.479925 18.986917 18.426249 17.468197
 16.442966 16.075258 15.512764 15.911946 16.8133  ]","[0.01978234 0.         0.         0.         0.         0.
 0.         0.01978234 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.01978234
 0.        ]",False,00482,images/creativity/left/00482.jpg,images/creativity/right/00482.jpg,1000,-0.17604838116802576,-0.18097806575462796,-0.35702644692265373,19,21,18,18
582.5001831054688,367.9039611816406,1.5832941326170669,15.907443046569824,18.5216064453125,302.2414245605469,1.5744829177856445,0.006730266381055117,0.03426402062177658,0.12787505984306335,20,21,"[  0.          22.56389618  46.48207092  71.99225616  98.98869324
 127.09243774 155.76071167 184.61309814 213.57371521 242.76470947
 272.31509399 302.49560547 333.56402588 365.42871094 397.91125488
 430.66534424 462.96878052 494.44390869 524.98498535 554.34179688
 582.50006104]","[  0.          18.39520073  36.79040146  55.18560028  73.58080292
  91.97599792 110.37120056 128.76638794 147.16159058 165.55677795
 183.95198059 202.34718323 220.74238586 239.13757324 257.53277588
 275.92797852 294.32318115 312.71838379 331.11355591 349.50875854
 367.90396118]","[15.068424  14.324275  13.629287  13.2777605 13.889861  15.186774
 16.376406  17.092041  17.829597  18.521606  18.268282  17.704653
 17.581724  16.692081  15.927236  15.95044   14.933779  14.676766
 15.310468 ]","[0.03426402 0.01978234 0.01978234 0.03426402 0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01978234 0.
 0.        ]",False,00666,images/creativity/left/00666.jpg,images/creativity/right/00666.jpg,1000,-0.7089365891273532,-0.658234369309846,-1.3671709584371992,35,35,35,35
635.3966674804688,406.4944763183594,1.56311267310515,15.674450874328613,18.400548934936523,297.8145751953125,1.9146702289581299,0.0020823515951633453,0.01978234015405178,0.03956468030810356,20,21,"[  0.          26.10481453  53.44546127  82.06201172 111.93006897
 142.94750977 174.89381409 207.45678711 240.44851685 273.92849731
 307.80474854 341.9407959  376.0831604  410.1022644  444.13287354
 478.03915405 511.60852051 544.43487549 576.05877686 606.2956543
 635.39660645]","[  0.          20.32472038  40.64944458  60.97416687  81.29888916
 101.62361145 121.94833374 142.27304077 162.59776306 182.92248535
 203.24720764 223.57192993 243.89665222 264.22134399 284.54608154
 304.87081909 325.19555664 345.52029419 365.84500122 386.16973877
 406.49447632]","[12.082613  12.396369  12.896114  13.409546  13.988899  14.7645
 16.003853  16.752056  16.966238  17.142061  17.35133   18.356997
 18.400549  17.70489   17.225117  15.909754  15.224028  15.332827
 15.9068365]","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.01978234 0.01978234
 0.        ]",False,00681,images/creativity/left/00681.jpg,images/creativity/right/00681.jpg,1000,-0.802314586170802,-0.7331793891111269,-1.5354939752819288,38,40,37,37
596.0557861328125,378.74725341796875,1.573756062265174,15.370952606201172,18.623106002807617,292.048095703125,2.1399619579315186,0.0,0.0,0.0,20,21,"[  0.          23.32553101  47.85162354  73.78283691 101.12300873
 129.67382812 159.10710144 189.16403198 219.75985718 250.83221436
 282.30126953 314.31454468 346.88088989 379.80819702 412.8425293
 445.65441895 477.9041748  509.24420166 539.38659668 568.23535156
 596.05566406]","[  0.          18.93736076  37.87472153  56.81208038  75.74944305
  94.6867981  113.62416077 132.56152344 151.49888611 170.43624878
 189.37361145 208.31097412 227.24833679 246.1856842  265.12304688
 284.0604248  302.99780273 321.93518066 340.87252808 359.80987549
 378.74725342]","[12.113816 11.948487 11.926429 12.423543 13.538248 15.040853 16.359053
 17.309507 18.291168 18.623106 18.107327 17.609491 17.00742  16.265818
 15.672393 15.109198 14.798726 14.871233 15.032269]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01028,images/creativity/left/01028.jpg,images/creativity/right/01028.jpg,1000,-0.7530684768430724,-0.8308036289972528,-1.5838721058403253,39,37,40,40
586.1077880859375,374.5926818847656,1.5646535995762976,15.795948028564453,18.355226516723633,300.1230163574219,1.7049649953842163,0.003123527392745018,0.03956468030810356,0.05934701859951019,20,21,"[  0.          25.59235191  51.99128342  79.35691071 107.65727234
 136.68214417 166.21398926 196.15037537 226.2830658  256.59603882
 287.26205444 318.25549316 349.37649536 380.80163574 412.45727539
 443.89611816 474.77877808 504.65124512 533.14447021 560.21490479
 586.10778809]","[  0.          18.72963333  37.45926666  56.18889999  74.91853333
  93.64816284 112.37779999 131.10742188 149.83706665 168.56669617
 187.29632568 206.0259552  224.75558472 243.48519897 262.21484375
 280.94448853 299.6741333  318.40377808 337.13339233 355.86303711
 374.59268188]","[13.880156  13.774428  13.780724  14.083045  15.2466135 16.074406
 16.89154   17.783285  18.355227  17.99733   18.201805  18.330856
 16.940966  16.25468   15.540066  14.581506  14.180859  14.156289
 14.0692835]","[0.         0.         0.         0.03956468 0.01978234 0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",False,01208,images/creativity/left/01208.jpg,images/creativity/right/01208.jpg,1000,-0.7951848427851943,-0.6940982193773323,-1.4892830621625266,37,39,36,36
631.69580078125,371.5328063964844,1.7002423202088122,17.56829833984375,19.0540771484375,333.79766845703125,0.7572017312049866,0.0,0.0,0.0,20,21,"[  0.          29.89908409  61.08683395  93.42063904 126.39860535
 159.57832336 192.75865173 225.65786743 258.1328125  290.35809326
 322.57147217 354.81344604 387.11679077 419.46765137 451.65951538
 483.44146729 514.68231201 545.39562988 575.34185791 604.11071777
 631.69580078]","[  0.          18.57664108  37.15328217  55.72992325  74.30656433
  92.8832016  111.4598465  130.03648376 148.61312866 167.1897583
 185.7664032  204.3430481  222.91969299 241.49632263 260.07296753
 278.64962769 297.22628784 315.80291748 334.37954712 352.95617676
 371.53283691]","[17.161701 17.013538 17.270302 18.005465 18.52053  18.350542 18.731709
 19.054077 18.530453 17.841784 17.424948 16.88565  16.562744 16.794718
 17.29999  17.434296 16.617094 16.593134 17.70499 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01271,images/creativity/left/01271.jpg,images/creativity/right/01271.jpg,1000,-0.16782669027537528,-0.1239982546621278,-0.2918249449375031,17,20,15,15
696.4644165039062,366.56298828125,1.8999856471312244,21.626522064208984,23.61030387878418,410.9039306640625,1.1672266721725464,0.0010411757975816727,0.01978234015405178,0.01978234015405178,20,21,"[  0.          29.31098366  61.116539    96.20988464 133.16506958
 170.27981567 207.70858765 244.91868591 281.16625977 316.82406616
 352.36547852 387.77368164 423.07958984 458.29272461 493.72244263
 529.68475342 565.4486084  600.23474121 633.70318604 665.66363525
 696.4644165 ]","[  0.          18.3281498   36.65629959  54.98445129  73.31259918
  91.64074707 109.96890259 128.29704285 146.62519836 164.95333862
 183.28149414 201.60964966 219.93780518 238.26593018 256.59408569
 274.92224121 293.25039673 311.57855225 329.90667725 348.23483276
 366.56298828]","[22.668013 20.662436 19.570457 21.604496 22.687542 21.179579 22.49097
 23.360443 22.413343 21.909285 22.231682 22.499128 23.610304 21.755375
 20.583454 19.799644 19.919153 20.428143 21.530472]","[0.         0.         0.         0.         0.         0.
 0.         0.01978234 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.        ]",False,01547,images/creativity/left/01547.jpg,images/creativity/right/01547.jpg,1000,0.7563696880785296,1.1813831856452657,1.9377528737237952,7,7,7,7
686.6293334960938,387.4106140136719,1.772355502556939,18.469032287597656,21.398880004882812,350.91162109375,1.592307448387146,0.0,0.0,0.0,20,21,"[  0.          28.33320808  58.51586914  90.45606995 123.68914795
 157.80058289 192.58180237 227.63366699 262.67132568 297.72457886
 332.88870239 367.83627319 402.65560913 437.87939453 474.08447266
 511.20910645 548.90875244 586.10803223 621.66308594 655.02844238
 686.62927246]","[  0.          19.37052917  38.74105835  58.11158752  77.4821167
  96.85264587 116.22317505 135.59368896 154.96421814 174.33473206
 193.70526123 213.07579041 232.44631958 251.8168335  271.18737793
 290.55792236 309.9284668  329.29901123 348.66952515 368.04006958
 387.41061401]","[17.525003 16.258526 15.806484 16.702885 17.22416  17.354307 18.38387
 19.441618 19.684895 20.199081 21.39888  21.345804 20.282728 19.487297
 18.704454 17.379776 17.361084 17.907885 18.46286 ]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01577,images/creativity/left/01577.jpg,images/creativity/right/01577.jpg,1000,0.1658352296725272,0.1657347561113655,0.33156998578389274,14,14,14,14
643.1270751953125,377.9413146972656,1.7016585649294866,16.96885871887207,20.08722686767578,322.4083251953125,2.089587926864624,0.021500572562217712,0.04423465579748154,0.40851086378097534,20,21,"[  0.          24.75041771  50.71907806  78.1544342  107.063797
 137.20158386 168.09518433 199.44038391 231.21095276 263.31860352
 295.75494385 328.58612061 361.84182739 395.7539978  430.71795654
 466.93228149 504.40878296 541.92333984 577.99298096 611.66357422
 643.1270752 ]","[  0.          18.89706802  37.79413605  56.69120407  75.58827209
  94.4853363  113.38240814 132.27946472 151.17652893 170.07359314
 188.97065735 207.86772156 226.76478577 245.66183472 264.55889893
 283.45596313 302.35302734 321.25009155 340.14712524 359.04418945
 377.94125366]","[13.850128 13.888097 13.921678 14.112405 14.884375 16.307442 16.974792
 17.356195 17.992634 18.388233 19.011349 20.02337  20.087227 19.993507
 19.132046 17.118013 16.119808 16.257427 16.989607]","[0.03956468 0.03956468 0.03956468 0.04423466 0.03956468 0.01978234
 0.         0.         0.01978234 0.01978234 0.01978234 0.01978234
 0.02797645 0.01978234 0.         0.01978234 0.01978234 0.
 0.01978234]",False,01736,images/creativity/left/01736.jpg,images/creativity/right/01736.jpg,1000,-0.16127383936477335,-0.31681595248969724,-0.4780897918544706,21,19,20,20
628.7498779296875,382.62274169921875,1.643263218326814,15.992527961730957,19.26738739013672,303.8580322265625,2.0053188800811768,0.02991381846368313,0.048456642776727676,0.5683625340461731,20,21,"[  0.          23.66428185  48.43739319  74.33177948 101.12954712
 128.69282532 157.05480957 186.30548096 216.52940369 247.75436401
 279.94415283 312.98605347 346.64907837 380.93301392 416.24279785
 452.70013428 489.90908813 527.06347656 563.05706787 596.93017578
 628.74987793]","[  0.          19.13113976  38.26228333  57.39342499  76.52456665
  95.65570831 114.78684998 133.91798401 153.0491333  172.18026733
 191.31141663 210.44256592 229.57371521 248.70483398 267.83596802
 286.96710205 306.09823608 325.22937012 344.36050415 363.49163818
 382.62277222]","[13.212474 12.750924 12.879808 13.578832 14.205901 14.60188  15.000174
 15.340833 15.808679 16.297293 17.139824 18.577677 19.267387 18.636051
 17.999641 17.21485  16.612783 16.820618 17.91237 ]","[0.04423466 0.04845664 0.04845664 0.04845664 0.03956468 0.01978234
 0.01978234 0.02797645 0.03426402 0.03956468 0.01978234 0.01978234
 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234 0.01978234
 0.03956468]",False,01879,images/creativity/left/01879.jpg,images/creativity/right/01879.jpg,1000,-0.4314644318338496,-0.6308656788074898,-1.0623301106413394,28,25,32,32
727.9668579101562,352.46392822265625,2.0653655583452775,23.67913246154785,27.888004302978516,449.9035339355469,2.3669416904449463,0.015260362066328526,0.03956468030810356,0.28994688391685486,20,21,"[  0.          38.0356636   80.24333191 124.80247498 170.3699646
 214.52828979 255.97662354 295.08547974 331.9916687  367.00292969
 401.0730896  434.59066772 467.47015381 500.52651978 534.04309082
 567.82434082 601.80554199 635.29064941 667.78100586 698.73016357
 727.96691895]","[  0.          17.62319756  35.24639511  52.86959076  70.49279022
  88.11598969 105.73918915 123.36238098 140.98558044 158.60876465
 176.23196411 193.85516357 211.47836304 229.10154724 246.7247467
 264.34796143 281.97116089 299.59436035 317.2175293  334.84072876
 352.46392822]","[25.508526 26.479824 26.967054 25.683075 27.044683 27.888004 25.497074
 24.766317 23.538073 22.126253 23.037935 22.591629 21.472797 21.752668
 22.010578 21.01909  21.219103 20.511509 20.789343]","[0.01978234 0.         0.         0.03956468 0.03956468 0.
 0.         0.02797645 0.         0.02797645 0.01978234 0.01978234
 0.01978234 0.         0.         0.02797645 0.01978234 0.
 0.02797645]",False,01933,images/creativity/left/01933.jpg,images/creativity/right/01933.jpg,1000,1.5215692937499032,1.8416325210333104,3.3632018147832135,4,5,4,4
699.384765625,382.2466125488281,1.8296689693637525,18.989482879638672,21.817485809326172,360.8001708984375,1.7498126029968262,0.017316363751888275,0.03956468030810356,0.32901090383529663,20,21,"[  0.          27.70764732  56.99638367  87.67446136 119.49841309
 152.3747406  186.22131348 221.00511169 256.46923828 292.50784302
 329.26385498 366.53259277 404.01589966 441.71929932 479.96429443
 518.85180664 557.72009277 595.75531006 632.24072266 666.69567871
 699.38476562]","[  0.          19.11232948  38.22466278  57.33699417  76.44932556
  95.56165314 114.67398834 133.78631592 152.89865112 172.01097107
 191.12330627 210.23564148 229.34797668 248.46029663 267.57263184
 286.68496704 305.79730225 324.90963745 344.02194214 363.13427734
 382.24661255]","[16.225851 16.135777 16.861614 17.578682 18.13121  18.704073 18.848549
 20.021198 20.659979 20.910519 21.27877  21.817486 21.72219  20.594175
 19.229347 18.485634 17.74712  17.71709  18.13087 ]","[0.         0.         0.         0.         0.         0.02797645
 0.02797645 0.02797645 0.01978234 0.02797645 0.02797645 0.01978234
 0.01978234 0.03426402 0.03956468 0.02797645 0.         0.
 0.02797645]",False,01986,images/creativity/left/01986.jpg,images/creativity/right/01986.jpg,1000,0.4310200509623956,0.33314458602496955,0.7641646369873651,12,10,12,12
657.28857421875,360.0174255371094,1.825713222736767,19.252708435058594,21.05806541442871,365.80145263671875,1.1497410535812378,0.0,0.0,0.0,20,21,"[  0.          29.40062714  60.52480316  93.56808472 128.20523071
 164.09545898 200.59727478 237.18084717 273.61691284 309.33242798
 344.05761719 378.04064941 411.77633667 445.44927979 478.76800537
 511.49414062 543.43200684 574.02575684 602.86425781 630.26861572
 657.28857422]","[  0.          18.00086975  36.0017395   54.00260925  72.003479
  90.00434875 108.00521851 126.00608063 144.00695801 162.00782776
 180.00869751 198.00956726 216.01043701 234.0112915  252.01216125
 270.01303101 288.01391602 306.01480103 324.01565552 342.01654053
 360.01742554]","[19.041174 18.72852  19.081236 19.786453 20.102474 20.62937  20.324862
 19.814167 20.670458 21.058065 20.788574 18.921543 17.866632 17.933302
 17.607573 17.105629 17.979805 19.017471 19.344189]",[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],False,01988,images/creativity/left/01988.jpg,images/creativity/right/01988.jpg,1000,0.41271712809295846,0.41781457417687135,0.8305317022698298,11,12,11,11
